"Timestamp","Укажите ваш пол","Укажите город, в котором находится ваше учебное заведение","Укажите название учебного заведения, в котором вы обучаетесь","Укажите номер вашего класса(последний класс, который вы закончили)","Время в которое у вас начинаются уроки/пары","Выберите ваш первый любимый предмет","Почему вам нравится этот предмет?","Ваш второй любимый предмет","Почему вам нравится этот предмет?","Сколько часов вы обычно тратите в день на домашнее задание?","Сколько времени вы тратите на самообучение(не связанного с домашним заданием)?","Как часто вы списываете домашнее задание?","Отметьте предметы(можно несколько), по которым вы наиболее часто списываете домашнее задание","Как вы оцениваете чистоту вашей школы (по десятибалльной шкале)?","Как вы оцениваете столовую в вашей школе (по десятибалльной шкале)?","Как вы оцениваете прилегающую территорию вашей школы, в том числе и стадион (по десятибалльной шкале)?","Как вы оцениваете спортивный зал и инвентарь в вашей школе(по десятибальной шкале)?","Насколько вы в целом удовлетворены своим учебным заведением?","Как вы оцениваете своё желание учиться в вашем учебном заведении на данный момент (по десятибалльной шкале)?","Сколько в среднем вы спите по будням?","Делаете ли вы утром зарядку?","Сколько времени у вас занимает дорога от дома до школы?","На сколько баллов(от 1 до 10) вы оцениваете своё рабочее состояние в течение дня?","Когда вы делаете домашнее задание?","Можете добавить какую-либо важную, по вашему мнению, информацию о вашем учебном заведении, которая не была упомянута в опросе.","Можете написать предложения по поводу данного опроса.",""
"2018/04/03 8:17:57 PM GMT+3","Женский","","","11","8:30","биология","Его интересно преподают","физкультура","Мне интересен сам предмет","больше 3 часов","больше 7 часов в неделю","Практически постоянно","физика;химия","","","","","Очень удовлетворен/на","Сильное","6:00","Нет","60","Терпимое","Комбинированно","","","Лицей БГУ"
"2018/04/03 8:19:02 PM GMT+3","Женский","","","10","8:30","белорусская литература","Его интересно преподают","иностранный язык","Мне интересен сам предмет","1-3 часа","до 3 часов в неделю","Время от времени","метематика;физика;информатика;астрономия","","","","","Очень удовлетворен/на","Сильное","6:00","Нет","50","Терпимое","В течение дня(за день перед уроком)","","","Лицей БГУ"
"2018/04/03 8:19:44 PM GMT+3","Женский","","","10","8:30","всемирная история","Оба варианта","обществоведение","Его интересно преподают","больше 3 часов","до 3 часов в неделю","Никогда","география;русская литература","","","","","Очень удовлетворен/на","Сильное","6:00","Нет","25","Терпимое","В течение дня(за день перед уроком)","","","Лицей БГУ"
"2018/04/03 8:22:04 PM GMT+3","Женский","","","11","8:30","белорусская литература","Его интересно преподают","математика","Мне интересен сам предмет","больше 3 часов","до 3 часов в неделю","Практически постоянно","метематика","","","","","Очень удовлетворен/на","Небольшое","7","Нет","15","Отличное","В течение дня(за день перед уроком)","","","ЛБГУ"
"2018/04/03 8:22:49 PM GMT+3","Женский","","","10","8:30","химия","Оба варианта","математика","Мне интересен сам предмет","1-3 часа","до 3 часов в неделю","Никогда","физика;география","","","","","Очень удовлетворен/на","Сильное","7:00","Нет","45","Отличное","В течение дня(за день перед уроком)","","","Лицей БГУ"
"2018/04/03 8:23:26 PM GMT+3","Женский","","","10","8:30","иностранный язык","Оба варианта","математика","Оба варианта","1-3 часа","до 3 часов в неделю","Никогда","физика","","","","","Очень удовлетворен/на","Сильное","8:00","Нет","10","Терпимое","В течение дня(за день перед уроком)","","","Лицей БГУ"
"2018/04/03 8:23:49 PM GMT+3","Мужской","","","10","8:30","физика","Оба варианта","информатика","Оба варианта","1-3 часа","до 3 часов в неделю","Никогда","метематика;иностранный язык","","","","","Очень удовлетворен/на","Сильное","6:30","Нет","10","Терпимое","В течение дня(за день перед уроком)","","","Лицей БГУ"
"2018/04/03 8:24:33 PM GMT+3","Мужской","","","11","8:30","информатика","Оба варианта","математика","Оба варианта","больше 3 часов","до 3 часов в неделю","Практически постоянно","физика;химия;география;иностранный язык;русский язык;русская литература;белорусский язык;белорусская литература","","","","","Очень удовлетворен/на","Сильное","5:00","Нет","50","Отличное","В течение дня(за день перед уроком)","","","Лицей ЬГУ"
"2018/04/03 8:25:11 PM GMT+3","Женский","","","11","8:30","физкультура","Мне интересен сам предмет","белорусская литература","Его интересно преподают","1-3 часа","Не занимаюсь вообще","Время от времени","иностранный язык","","","","","Очень удовлетворен/на","Небольшое","5:30","Нет","35","Плохое","В течение дня(за день перед уроком)","","","Лицей БГУ"
"2018/04/03 8:25:23 PM GMT+3","Мужской","","","10","8:30","физика","Оба варианта","математика","Оба варианта","до 1 часа","до 3 часов в неделю","Время от времени","география;русский язык;белорусский язык","","","","","Очень удовлетворен/на","Сильное","7.30","Да","40","Отличное","В течение дня(за день перед уроком)","","","Лицей БГУ"
